id,gender,age,annual_income,spending_core
619774.0,Male,36,87,92
43512,Female,19,63,54
500699.0,Male,48,61,42
680152.0,Male,39,78,88
290112.0,Female,19,63,54
457323.0,Female,40,69,58
458089.0,Female,34,58,60
458045.0,Female,49,39,28
898628.0,Male,35,28,61
960941.0,Female,57,75,5
636854.0,Male,59,43,60
446202.0,Male,21,15,81
950984.0,Female,29,98,88
165039.0,Female,36,37,26
844598.0,Male,32,126,74
390845.0,Female,49,39,28
226805.0,Female,31,17,40
361653.0,Female,31,43,54
713973.0,Male,36,87,10
632969.0,Female,36,87,27
624450.0,Female,31,40,42
23624,Male,31,25,73
717500.0,Male,20,61,49
127287.0,Female,55,57,58
338212.0,Female,35,19,99
119559.0,Male,34,78,1
865009.0,Male,64,19,3
505444.0,Female,31,39,61
461608.0,Female,23,18,94
948760.0,Female,30,78,73
407489.0,Female,34,58,60
878438.0,Female,30,34,73
548941.0,Female,57,75,5
203530.0,Male,38,71,75
771821.0,Male,35,24,35
260504.0,Male,26,62,55
935360.0,Female,30,78,73
662833.0,Male,53,33,4
474138.0,Male,32,73,73
186564.0,Female,31,81,93
13529,Male,59,71,11
765537.0,Female,44,73,7
534855.0,Female,50,43,45
156250.0,Female,31,40,42
697164.0,Female,31,81,93
633418.0,Male,20,21,66
138236.0,Female,21,33,81
283196.0,Female,35,120,79
127213.0,Female,58,20,15
94962,Female,29,79,83
112018.0,Male,20,21,66
335423.0,Female,46,25,5
891500.0,Male,20,61,49
271505.0,Male,49,62,56
303301.0,Female,23,62,41
935827.0,Female,45,28,32
321561.0,Female,56,79,35
4229,Female,40,29,31
243963.0,Male,19,81,5
639454.0,Male,59,43,60
862833.0,Male,53,33,4
929900.0,Male,20,61,49
326134.0,Female,31,72,71
50903,Male,67,62,59
893394.0,Female,38,113,91
983674.0,Female,60,50,56
746254.0,Male,59,43,60
975450.0,Female,31,40,42
513970.0,Male,32,87,63
569695.0,Female,32,60,42
904780.0,Male,35,93,90
55847,Female,50,40,55
42012,Female,35,19,99
492600.0,Male,30,137,83
94610,Female,30,19,72
361177.0,Male,58,88,15
416258.0,Male,69,44,46
704493.0,Male,48,60,49
610947.0,Male,48,77,36
829205.0,Female,31,17,40
719307.0,Female,66,63,50
163233.0,Male,53,33,4
665470.0,Female,32,48,47
642529.0,Male,59,71,11
134194.0,Female,38,113,91
324487.0,Female,55,57,58
743925.0,Female,23,70,29
186827.0,Female,45,28,32
8453,Female,31,43,54
580847.0,Female,50,40,55
725290.0,Female,50,58,46
871907.0,Female,66,63,50
869563.0,Male,19,81,5
660582.0,Female,32,97,86
888728.0,Male,40,71,95
981637.0,Female,42,34,17
243555.0,Female,47,78,16
959533.0,Female,25,72,34
968736.0,Female,29,73,88
564360.0,Female,30,78,73
178473.0,Female,60,50,49
757278.0,Male,40,54,48
382830.0,Female,23,29,87
137112.0,Female,19,63,54
778162.0,Female,29,79,83
832549.0,Female,34,78,22
79015,Male,37,20,13
602494.0,Female,40,60,40
602079.0,Female,23,54,52
17735,Male,20,73,5
644109.0,Male,68,63,43
280130.0,Male,38,71,75
717111.0,Male,65,63,52
414270.0,Female,32,48,47
638127.0,Male,43,71,35
749156.0,Female,27,78,89
319541.0,Female,57,75,5
397822.0,Male,25,24,73
640099.0,Male,48,61,42
667104.0,Male,26,62,55
2252,Male,33,42,60
559317.0,Female,63,65,43
19398,Male,32,126,74
981654.0,Male,59,43,60
623381.0,Female,37,97,32
959338.0,Male,32,73,73
16625,Female,54,28,14
659014.0,Female,24,20,77
546881.0,Male,57,54,51
677212.0,Female,35,19,99
940131.0,Male,47,71,9
762431.0,Male,60,30,4
10551,Male,43,78,17
629737.0,Female,44,73,7
421009.0,Male,64,19,3
668833.0,Male,53,33,4
314994.0,Female,38,113,91
324299.0,Male,48,61,42
542957.0,Male,37,78,1
676058.0,Male,69,44,46
129212.0,Female,35,19,99
694632.0,Female,21,30,73
198984.0,Female,29,98,88
605306.0,Female,21,62,42
587033.0,Male,53,33,4
758532.0,Male,39,71,75
755359.0,Male,34,78,1
697337.0,Female,44,73,7
771815.0,Male,37,20,13
132424.0,Male,31,25,73
647159.0,Male,34,78,1
899324.0,Male,39,69,91
67142,Male,32,75,93
917634.0,Male,18,33,92
986184.0,Female,29,98,88
180269.0,Male,19,48,59
643816.0,Male,22,20,79
990344.0,Female,32,76,87
303611.0,Male,67,19,14
458871.0,Male,70,49,55
682709.0,Male,68,63,43
47735,Male,20,73,5
880560.0,Female,30,78,73
984220.0,Female,35,23,98
41415,Male,37,20,13
657830.0,Female,23,29,87
325065.0,Male,63,48,51
729180.0,Male,35,93,90
706723.0,Female,40,69,58
655720.0,Female,50,67,57
831436.0,Female,21,33,81
910646.0,Female,24,39,65
404353.0,Female,44,78,20
784847.0,Female,50,40,55
537329.0,Male,59,71,11
698574.0,Male,36,87,92
7978,Male,27,88,69
536183.0,Male,46,98,15
430875.0,Male,59,54,47
10616,Male,22,20,79
837331.0,Male,47,71,9
452383.0,Male,46,98,15
97712,Female,19,63,54
616363.0,Male,19,81,5
736512.0,Female,19,63,54
474950.0,Male,34,78,90
513945.0,Male,25,77,12
239478.0,Male,40,54,48
844691.0,Female,68,59,55
511880.0,Female,49,54,42
921960.0,Female,30,78,73
442169.0,Female,36,87,27
566610.0,Female,30,19,72
415456.0,Male,47,43,41
770842.0,Male,24,38,92
573410.0,Female,30,19,72
867749.0,Female,34,78,22
251985.0,Female,41,99,39
738188.0,Male,28,101,68
360587.0,Female,54,101,24
579158.0,Female,30,78,78
985296.0,Male,24,60,52
984147.0,Male,48,77,36
83767,Male,42,86,20
659986.0,Male,30,99,97
154191.0,Female,34,103,23
278611.0,Male,67,19,14
97183,Male,46,98,15
914032.0,Female,21,30,73
343691.0,Female,68,59,55
481330.0,Male,38,71,75
407583.0,Male,46,98,15
405035.0,Female,49,33,14
966081.0,Male,57,54,51
21408,Female,23,18,94
546030.0,Female,23,29,87
220963.0,Male,19,81,5
10245,Female,49,39,28
358699.0,Male,48,61,42
28993,Male,33,113,8
897851.0,Female,49,42,52
522137.0,Female,44,73,7
57209,Male,64,19,3
549823.0,Female,46,25,5
31729,Male,59,71,11
8254,Male,59,43,60
219127.0,Male,43,71,35
288642.0,Male,24,38,92
458888.0,Female,22,57,55
607225.0,Female,54,28,14
992198.0,Male,32,126,74
38646,Female,24,39,65
321348.0,Female,32,77,74
158058.0,Male,69,44,46
519749.0,Female,34,78,22
649412.0,Female,35,19,99
116455.0,Female,50,43,45
708168.0,Female,33,86,95
101578.0,Male,27,88,69
381871.0,Male,70,49,55
358647.0,Female,50,40,55
179512.0,Female,19,63,54
422549.0,Female,34,78,22
429223.0,Female,46,25,5
213996.0,Female,35,120,79
762751.0,Male,43,78,17
597260.0,Male,53,46,46
93598,Male,32,126,74
598156.0,Female,27,78,89
998713.0,Female,38,64,42
22731,Male,47,71,9
90123,Female,40,69,58
17327,Male,43,71,35
550162.0,Female,29,79,83
778589.0,Female,41,103,17
542514.0,Male,19,64,46
711193.0,Male,33,113,8
393597.0,Female,45,126,28
451681.0,Male,57,54,51
464306.0,Female,21,62,42
803109.0,Male,68,63,43
254761.0,Female,56,79,35
659443.0,Male,48,39,36
330064.0,Female,54,47,59
497262.0,Male,19,46,55
257404.0,Female,23,16,77
291568.0,Female,33,86,95
170955.0,Female,47,78,16
323481.0,Male,57,54,51
48774,Male,36,87,92
698064.0,Female,54,47,59
780170.0,Male,32,87,63
707710.0,Male,66,63,48
225552.0,Male,39,78,88
392227.0,Female,45,28,32
933012.0,Female,35,19,99
2094,Female,40,60,40
414797.0,Female,45,126,28
685220.0,Female,35,23,98
723998.0,Male,32,126,74
861971.0,Male,40,87,13
855544.0,Female,32,76,87
925080.0,Female,49,54,42
157661.0,Male,70,46,56
860184.0,Female,29,98,88
312975.0,Female,52,88,13
852271.0,Male,70,49,55
274298.0,Female,27,60,50
161032.0,Female,21,30,73
671770.0,Male,32,87,63
412804.0,Female,23,16,77
2212,Female,35,19,99
387153.0,Female,44,78,20
18433,Male,53,33,4
259183.0,Male,46,98,15
94606,Female,22,17,76
265440.0,Female,20,37,75
482129.0,Male,59,71,11
879562.0,Female,29,79,83
56579,Male,59,93,14
633718.0,Female,49,65,59
6453,Female,31,43,54
990616.0,Male,22,20,79
79135,Male,20,73,5
202319.0,Female,51,67,43
603712.0,Female,19,63,54
836307.0,Female,66,63,50
830062.0,Male,19,46,55
755761.0,Female,56,79,35
105032.0,Female,21,30,73
358955.0,Female,47,78,16
980127.0,Male,43,71,35
278258.0,Male,69,44,46
504570.0,Male,32,87,63
237618.0,Male,20,21,66
716015.0,Male,37,20,13
318965.0,Male,50,85,26
316030.0,Female,23,29,87
277609.0,Male,64,19,3
128157.0,Male,37,78,1
952781.0,Female,37,97,32
953906.0,Female,21,62,42
555976.0,Female,30,88,86
632243.0,Male,48,39,36
924980.0,Male,35,93,90
606239.0,Female,36,37,26
385121.0,Male,27,67,56
228492.0,Male,18,59,41
390354.0,Female,38,78,76
714867.0,Female,43,48,50
962430.0,Female,23,29,87
565767.0,Male,42,86,20
41456,Male,47,43,41
881567.0,Male,42,86,20
737880.0,Female,49,54,42
331729.0,Male,59,71,11
144237.0,Female,42,34,17
730901.0,Female,23,62,41
484652.0,Male,33,42,60
620756.0,Female,27,78,89
510810.0,Female,30,19,72
