id,gender,age,annual_income,spending_core
881226.0,Male,29,28,82
467270.0,Female,32,48,47
564900.0,Male,20,61,49
46426,Male,29,28,82
167619.0,Male,52,23,29
681717.0,Female,63,65,43
487406.0,Female,22,17,76
654435.0,Female,49,33,14
814078.0,Male,40,54,48
614445.0,Female,49,39,28
229802.0,Male,21,15,81
241180.0,Male,35,93,90
362125.0,Female,23,70,29
508678.0,Male,40,54,48
798211.0,Male,67,19,14
874264.0,Female,54,47,59
140589.0,Female,41,103,17
120080.0,Female,49,54,42
293050.0,Female,31,40,42
567649.0,Female,29,40,42
273045.0,Female,49,39,28
278038.0,Female,30,34,73
513552.0,Male,39,78,88
598787.0,Female,54,101,24
460120.0,Female,50,67,57
752274.0,Female,60,50,56
188567.0,Male,42,86,20
910195.0,Female,47,120,16
784151.0,Male,43,78,17
756730.0,Male,38,71,75
572840.0,Female,20,37,75
301508.0,Male,54,63,46
934669.0,Male,19,48,59
598549.0,Female,34,78,22
965300.0,Male,20,61,49
811178.0,Male,27,88,69
163350.0,Male,34,78,90
274438.0,Female,30,34,73
835610.0,Female,30,19,72
438769.0,Female,36,87,27
247268.0,Female,68,48,48
718124.0,Male,39,69,91
4371,Male,40,87,13
779071.0,Male,70,49,55
567440.0,Female,20,37,75
397859.0,Female,27,46,51
782196.0,Female,35,120,79
28593,Male,33,113,8
206128.0,Male,40,71,95
860153.0,Female,44,78,20
824275.0,Male,59,54,47
813062.0,Male,19,46,55
896756.0,Female,27,78,89
866656.0,Male,47,43,41
973740.0,Female,35,74,72
812898.0,Female,27,60,50
666332.0,Male,39,71,75
232806.0,Female,22,17,76
206499.0,Male,48,61,42
28027,Female,45,28,32
198309.0,Male,68,63,43
98900,Male,20,61,49
19649,Female,29,40,42
531369.0,Female,36,87,27
476066.0,Male,18,48,59
529872.0,Female,47,49,42
990743.0,Female,28,76,40
842529.0,Male,59,71,11
939560.0,Female,30,78,73
712904.0,Male,26,62,55
705895.0,Female,32,60,42
277190.0,Female,36,103,85
961953.0,Female,44,78,20
858419.0,Male,52,23,29
900261.0,Male,70,46,56
295260.0,Male,53,46,46
676386.0,Male,30,99,97
959632.0,Female,21,30,73
924239.0,Female,36,37,26
965035.0,Female,49,33,14
693367.0,Male,42,86,20
554055.0,Female,50,43,45
549603.0,Female,20,16,6
902434.0,Male,18,33,92
994864.0,Female,54,47,59
788459.0,Female,27,46,51
854569.0,Female,36,87,27
781488.0,Female,22,57,55
854495.0,Female,32,60,42
273695.0,Female,32,60,42
774271.0,Male,70,49,55
273398.0,Male,32,126,74
376837.0,Female,42,34,17
68846,Female,24,39,65
67614,Female,24,20,77
616402.0,Male,21,15,81
373260.0,Male,53,46,46
429978.0,Male,27,88,69
996945.0,Male,25,77,12
753798.0,Male,32,126,74
430972.0,Male,28,87,75
404198.0,Male,32,126,74
666593.0,Male,33,113,8
317479.0,Female,23,54,52
266398.0,Male,32,126,74
590431.0,Male,60,30,4
997104.0,Male,26,62,55
83830,Female,23,29,87
975935.0,Male,20,73,5
274038.0,Female,30,34,73
684358.0,Female,30,78,78
687088.0,Female,22,57,55
320788.0,Male,28,101,68
308999.0,Male,32,137,18
565353.0,Female,44,78,20
836440.0,Female,20,37,75
933157.0,Male,37,78,1
716759.0,Male,34,78,1
650203.0,Female,20,16,6
258161.0,Female,56,79,35
220628.0,Male,35,28,61
293592.0,Female,32,103,69
717452.0,Male,33,42,60
19041,Female,65,38,35
262938.0,Male,32,73,73
557534.0,Female,31,72,71
531400.0,Male,30,137,83
855370.0,Male,32,87,63
466273.0,Female,60,50,49
208718.0,Female,49,65,59
533959.0,Male,34,78,1
786771.0,Male,40,87,13
99050,Female,31,40,42
582215.0,Male,37,20,13
133172.0,Male,28,87,75
421693.0,Male,48,60,49
270913.0,Female,38,64,42
69802,Male,21,15,81
747896.0,Male,24,60,52
741509.0,Male,68,63,43
681127.0,Male,43,71,35
959217.0,Female,35,21,35
149733.0,Female,25,72,34
392087.0,Female,55,57,58
312664.0,Female,54,47,59
631026.0,Male,29,28,82
641637.0,Female,42,34,17
870340.0,Female,35,74,72
397692.0,Male,18,59,41
475176.0,Female,30,88,86
315394.0,Female,38,113,91
382185.0,Female,41,99,39
813157.0,Male,37,78,1
607801.0,Male,19,15,39
224321.0,Male,27,67,56
623331.0,Male,47,71,9
867938.0,Male,32,73,73
460779.0,Male,59,93,14
5272,Female,47,49,42
47673,Female,60,50,49
229104.0,Male,26,62,55
757060.0,Male,53,46,46
4418,Male,20,21,66
688565.0,Male,50,85,26
196155.0,Female,47,78,16
363369.0,Female,36,87,27
485929.0,Male,59,71,11
710411.0,Male,67,19,14
271134.0,Female,31,72,71
22274,Female,60,50,56
